Height(Centimeter),Weight(Kilograms),Gender,BMI,Skin Color,Clothes Color,Pants Color,Skin Color_R,Skin Color_G,Skin Color_B,Clothes Color_R,Clothes Color_G,Clothes Color_B,Pants Color_R,Pants Color_G,Pants Color_B,Skin_Brightness,Clothes_Brightness,ShirtCluster,PantCluster,rgb_distance,Shirt_Lum,Pant_Lum,Lum_Diff
175.52616659999998,64.4972897416,Male,Ideal,"(127, 41, 44)","(165, 34, 115)","(0, 202, 172)",127,41,44,165,34,115,0,202,172,70.66666666666667,104.66666666666669,7,5,242.2767013148396,67.69879999999999,156.88879999999997,89.18999999999998
168.89084839999998,53.4148578424,Female,Ideal,"(253, 220, 213)","(46, 27, 69)","(129, 251, 105)",253,220,213,46,27,69,129,251,105,228.66666666666663,47.333333333333336,0,5,241.58021442162848,34.071799999999996,214.52159999999998,180.44979999999998
175.3426008,60.232663116800005,Male,Ideal,"(127, 41, 44)","(95, 22, 216)","(160, 53, 20)",127,41,44,95,22,216,160,53,20,70.66666666666667,111.0,4,3,208.81091925471713,51.5266,73.36560000000001,21.839000000000013
175.636936,61.278510191200006,Male,Ideal,"(204, 150, 103)","(43, 183, 42)","(161, 125, 223)",204,150,103,43,183,42,161,125,223,152.33333333333334,89.33333333333333,1,7,223.7163382500259,143.05579999999998,139.7292,3.326599999999985
174.37087300000002,58.450545508000005,Male,Ideal,"(235, 185, 152)","(31, 10, 164)","(104, 233, 153)",235,185,152,31,10,164,104,233,153,190.66666666666663,68.33333333333333,4,5,234.9021072702414,25.583399999999997,199.7986,174.21519999999998
167.7946606,61.53683083520001,Female,Ideal,"(253, 220, 213)","(234, 37, 236)","(198, 221, 3)",253,220,213,234,37,236,198,221,3,228.66666666666663,169.0,3,1,299.0668821518023,93.25,200.37059999999997,107.12059999999997
168.13791619999998,53.2303366168,Female,Ideal,"(235, 185, 152)","(74, 64, 49)","(124, 221, 168)",235,185,152,74,64,49,124,221,168,190.66666666666663,62.333333333333336,0,3,203.24861623145188,65.04299999999999,196.5512,131.5082
172.869098,49.3083533888,Female,Underweight,"(204, 150, 103)","(155, 173, 42)","(5, 53, 247)",204,150,103,155,173,42,5,53,247,152.33333333333334,123.33333333333331,2,2,280.9359357576029,159.71499999999997,56.80200000000001,102.91299999999997
173.3949034,61.80875923919999,Male,Ideal,"(253, 220, 213)","(125, 25, 21)","(123, 223, 136)",253,220,213,125,25,21,123,223,136,228.66666666666663,57.0,0,3,228.98253208487324,45.971199999999996,195.4586,149.48739999999998
168.5059622,45.6309469672,Female,Underweight,"(204, 150, 103)","(225, 233, 110)","(95, 25, 212)",204,150,103,225,233,110,95,25,212,152.33333333333334,189.33333333333331,2,2,265.64638149238925,222.4186,53.383399999999995,169.0352
172.16841359999998,59.4852342192,Male,Ideal,"(246, 215, 197)","(74, 240, 154)","(155, 71, 251)",246,215,197,74,240,154,155,71,251,219.33333333333331,156.0,6,1,211.02369535196752,198.4992,101.8544,96.6448
173.5739734,56.19097696,Female,Ideal,"(246, 215, 197)","(119, 6, 117)","(200, 243, 130)",246,215,197,119,6,117,200,243,130,219.33333333333331,80.66666666666667,0,5,250.7967304412081,38.038000000000004,225.6996,187.6616
168.20695339999995,57.9421142352,Female,Ideal,"(119, 78, 58)","(39, 19, 178)","(4, 215, 229)",119,78,58,39,19,178,4,215,229,85.0,78.66666666666667,4,5,205.52858681944952,34.7318,171.1522,136.4204
179.27243800000002,59.5767237256,Male,Ideal,"(127, 41, 44)","(29, 216, 41)","(194, 128, 236)",127,41,44,29,216,41,194,128,236,70.66666666666667,95.33333333333331,1,7,270.1740179958095,163.60879999999997,149.8292,13.779599999999988
168.5124138,48.0467779592,Female,Underweight,"(252, 218, 191)","(221, 7, 161)","(154, 247, 110)",252,218,191,221,7,161,154,247,110,220.33333333333331,129.66666666666666,3,1,254.34228905158497,63.6152,217.33679999999998,153.72159999999997
177.107215,57.6968116816,Female,Underweight,"(243, 214, 200)","(113, 254, 39)","(90, 47, 39)",243,214,200,113,254,39,90,47,39,219.0,135.33333333333334,1,3,208.27385817716058,208.50039999999998,55.5642,152.93619999999999
166.2153648,50.2936912904,Female,Underweight,"(235, 185, 152)","(68, 74, 253)","(255, 116, 60)",235,185,152,68,74,253,255,116,60,190.66666666666663,131.66666666666666,4,3,271.99632350456505,85.64819999999999,141.5082,55.86
181.9235122,54.3181863104,Female,Underweight,"(235, 185, 152)","(121, 45, 58)","(140, 249, 39)",235,185,152,121,45,58,140,249,39,190.66666666666663,74.66666666666667,0,5,205.7619984350852,62.096199999999996,210.66459999999998,148.5684
175.0894898,60.7096151048,Male,Ideal,"(243, 214, 200)","(55, 3, 40)","(114, 169, 207)",243,214,200,55,3,40,114,169,207,219.0,32.666666666666664,0,3,242.74678164704883,16.7266,160.0506,143.324
166.34035820000005,57.983572544,Female,Ideal,"(127, 41, 44)","(3, 254, 199)","(166, 55, 246)",127,41,44,3,254,199,166,55,246,70.66666666666667,152.0,6,1,261.4937857770238,196.66639999999998,92.3888,104.27759999999998
178.5038086,57.7103740824,Female,Underweight,"(235, 185, 152)","(210, 245, 154)","(153, 32, 200)",235,185,152,210,245,154,153,32,200,190.66666666666663,203.0,5,1,225.24209198105046,230.9888,69.85419999999999,161.1346
170.9945526,58.4950428832,Male,Ideal,"(243, 214, 200)","(46, 233, 246)","(16, 252, 34)",243,214,200,46,233,246,16,252,34,219.0,175.0,6,5,214.9534833400008,194.18239999999997,186.08679999999998,8.09559999999999
170.2824636,61.9215675696,Male,Ideal,"(127, 41, 44)","(253, 112, 50)","(96, 74, 206)",127,41,44,253,112,50,96,74,206,70.66666666666667,138.33333333333334,7,0,224.56402205161893,137.5002,88.2076,49.29260000000001
174.0715594,60.9591814232,Male,Ideal,"(204, 150, 103)","(111, 27, 29)","(0, 185, 230)",204,150,103,111,27,29,0,185,230,152.33333333333334,55.66666666666666,0,3,278.72208380392107,45.0028,148.91799999999998,103.91519999999997
179.52864780000002,55.377731863200005,Female,Underweight,"(235, 185, 152)","(130, 32, 212)","(51, 104, 4)",235,185,152,130,32,212,51,104,4,190.66666666666663,124.66666666666669,3,4,233.8567937862828,65.8308,85.51219999999999,19.681399999999996
167.9114752,48.5344800776,Female,Underweight,"(246, 215, 197)","(254, 118, 44)","(49, 203, 134)",246,215,197,254,118,44,49,203,134,219.33333333333331,138.66666666666666,7,5,239.47860029656096,141.57080000000002,165.2778,23.706999999999994
174.8880932,51.1300695792,Female,Underweight,"(246, 215, 197)","(190, 108, 187)","(86, 108, 1)",246,215,197,190,108,187,86,108,1,219.33333333333331,161.66666666666666,3,4,213.10091506138588,131.137,95.59739999999998,35.53960000000002
177.2094754,56.0045052888,Female,Underweight,"(204, 150, 103)","(197, 168, 29)","(21, 86, 238)",204,150,103,197,168,29,21,86,238,152.33333333333334,131.33333333333334,2,2,285.2735529277118,164.12959999999998,83.1554,80.97419999999998
166.0773158,57.090449896,Female,Ideal,"(235, 185, 152)","(210, 66, 30)","(33, 200, 201)",235,185,152,210,66,30,33,200,201,190.66666666666663,102.0,7,5,280.2249096707857,94.0152,164.568,70.55280000000002
177.237263,55.651656072,Female,Underweight,"(204, 150, 103)","(135, 218, 145)","(249, 27, 204)",204,150,103,135,218,145,249,27,204,152.33333333333334,166.0,5,1,230.1260524147581,195.0836,86.97659999999999,108.107
176.4550446,63.8904290048,Male,Ideal,"(253, 220, 213)","(103, 157, 30)","(242, 255, 223)",253,220,213,103,157,30,242,255,223,228.66666666666663,96.66666666666669,1,7,257.2430757085601,136.35019999999997,249.92579999999998,113.57560000000001
182.341774,65.3634690248,Male,Ideal,"(243, 214, 200)","(17, 202, 249)","(7, 232, 31)",243,214,200,17,202,249,7,232,31,219.0,156.0,6,5,220.28163790929102,166.0624,169.6528,3.5904000000000167
167.07995540000002,55.4235900144,Female,Ideal,"(243, 214, 200)","(78, 228, 28)","(59, 64, 193)",243,214,200,78,228,28,59,64,193,219.0,111.33333333333331,1,1,233.41379565055703,181.67,72.2508,109.41919999999999
166.761795,49.0320251424,Female,Underweight,"(253, 220, 213)","(209, 104, 106)","(53, 18, 214)",253,220,213,209,104,106,53,18,214,228.66666666666663,139.66666666666666,7,0,208.3170660315664,126.4674,39.5922,86.8752
167.41023160000003,54.3182316696,Female,Ideal,"(226, 165, 137)","(99, 23, 67)","(136, 221, 113)",226,165,137,99,23,67,136,221,113,176.0,63.0,0,5,206.6131651178114,42.3344,195.13139999999999,152.79699999999997
170.5060344,56.1525577176,Female,Ideal,"(127, 41, 44)","(208, 41, 130)","(152, 255, 40)",127,41,44,208,41,130,152,255,40,70.66666666666667,126.33333333333331,3,1,238.81373494839028,82.92999999999999,217.5792,134.6492
180.1559008,50.6423221016,Female,Underweight,"(119, 78, 58)","(44, 229, 71)","(121, 6, 76)",119,78,58,44,229,71,121,6,76,85.0,114.66666666666669,1,3,235.97245601976516,178.2614,35.503,142.7584
179.5991074,60.13495939999999,Male,Ideal,"(226, 165, 137)","(26, 50, 98)","(208, 144, 108)",226,165,137,26,50,98,208,144,108,176.0,58.0,0,5,205.085348087083,48.3632,155.00719999999998,106.64399999999998
187.00333440000003,66.0243525688,Male,Ideal,"(243, 214, 200)","(82, 184, 58)","(27, 19, 244)",243,214,200,82,184,58,27,19,244,219.0,108.0,1,1,254.6487777312116,153.2176,36.945800000000006,116.2718
179.22620999999998,67.1669054576,Male,Ideal,"(127, 41, 44)","(150, 49, 45)","(116, 234, 177)",127,41,44,150,49,45,116,234,177,70.66666666666667,81.33333333333333,7,5,229.79338545745827,70.18379999999999,204.7978,134.614
168.66168960000002,55.8519622992,Female,Ideal,"(243, 214, 200)","(15, 68, 19)","(82, 172, 241)",243,214,200,15,68,19,82,172,241,219.0,34.0,0,3,254.14366016094127,53.194399999999995,157.8478,104.6534
178.9973052,62.8536084112,Male,Ideal,"(127, 41, 44)","(161, 157, 229)","(203, 7, 93)",127,41,44,161,157,229,203,7,93,70.66666666666667,182.33333333333331,5,4,206.7849124090053,163.04879999999997,54.8788,108.16999999999997
172.91418299999998,52.3887873792,Female,Underweight,"(204, 150, 103)","(46, 75, 122)","(249, 223, 105)",204,150,103,46,75,122,249,223,105,152.33333333333334,81.0,0,5,251.79753771631684,72.228,220.00799999999998,147.77999999999997
174.6225108,65.11857470400001,Male,Ideal,"(119, 78, 58)","(55, 242, 221)","(240, 112, 164)",119,78,58,55,242,221,240,112,164,85.0,172.66666666666666,6,1,233.1823320922921,200.7276,142.9672,57.760400000000004
171.5758316,45.00237278136,Female,Underweight,"(226, 165, 137)","(13, 37, 26)","(6, 198, 170)",226,165,137,13,37,26,6,198,170,176.0,25.33333333333333,0,3,216.1157097482735,31.103399999999997,155.1592,124.0558
175.01753159999998,65.82694933040001,Male,Ideal,"(127, 41, 44)","(1, 172, 132)","(170, 213, 253)",127,41,44,1,172,132,170,213,253,70.66666666666667,101.66666666666669,1,7,211.85608322632606,132.7574,206.7462,73.9888
177.21506340000002,62.4225599336,Male,Ideal,"(127, 41, 44)","(88, 228, 9)","(211, 135, 141)",127,41,44,88,228,9,211,135,141,70.66666666666667,108.33333333333331,1,7,202.98275788844725,182.42419999999998,151.5908,30.833399999999983
173.095158,63.2412934936,Male,Ideal,"(243, 214, 200)","(165, 70, 84)","(88, 204, 222)",243,214,200,165,70,84,88,204,222,219.0,106.33333333333331,7,5,207.19314660480447,91.2078,180.63799999999998,89.43019999999997
177.9011174,62.8112882776,Male,Ideal,"(252, 218, 191)","(235, 0, 134)","(89, 134, 75)",252,218,191,235,0,134,89,134,75,220.33333333333331,123.0,3,4,206.76798591658235,59.6358,120.17320000000001,60.537400000000005
171.84951660000002,58.3395969048,Male,Ideal,"(246, 215, 197)","(207, 93, 108)","(31, 168, 218)",246,215,197,207,93,108,31,168,218,219.33333333333331,136.0,7,5,220.6830306117804,118.3194,142.4838,24.1644
176.2220504,60.6768657624,Male,Ideal,"(253, 220, 213)","(218, 175, 13)","(83, 126, 229)",253,220,213,218,175,13,83,126,229,228.66666666666663,135.33333333333334,2,2,259.38774065094134,172.4454,124.2948,48.15060000000001
171.921932,66.5778255272,Male,Ideal,"(243, 214, 200)","(99, 85, 195)","(249, 116, 24)",243,214,200,99,85,195,249,116,24,219.0,126.33333333333331,4,3,229.56916169207048,95.91839999999999,137.6334,41.715
176.9064788,64.76259570239999,Male,Ideal,"(204, 150, 103)","(20, 52, 232)","(204, 78, 46)",204,150,103,20,52,232,204,78,46,152.33333333333334,101.33333333333331,4,3,262.9220416777566,58.1928,102.47720000000001,44.28440000000001
175.46233640000003,67.1242678096,Male,Ideal,"(235, 185, 152)","(153, 140, 63)","(3, 6, 182)",235,185,152,153,140,63,3,6,182,190.66666666666663,118.66666666666669,2,2,233.70280272174745,137.2044,18.0694,119.13499999999999
172.4763378,56.675957526400005,Female,Ideal,"(252, 218, 191)","(196, 194, 49)","(44, 79, 175)",252,218,191,196,194,49,44,79,175,220.33333333333331,146.33333333333334,2,2,228.4841351166422,183.9562,78.4902,105.466
167.047291,55.4175118816,Female,Ideal,"(235, 185, 152)","(217, 8, 240)","(49, 123, 105)",235,185,152,217,8,240,49,123,105,190.66666666666663,155.0,3,4,244.28262320517192,69.1838,105.968,36.7842
173.5335366,65.82926264960001,Male,Ideal,"(243, 214, 200)","(209, 120, 32)","(48, 182, 237)",243,214,200,209,120,32,48,182,237,219.0,120.33333333333331,7,5,267.93655965545275,132.56779999999998,157.4826,24.914800000000014
173.1715866,67.8486995928,Male,Ideal,"(252, 218, 191)","(123, 201, 49)","(77, 84, 222)",252,218,191,123,201,49,77,84,222,220.33333333333331,124.33333333333331,2,2,213.85509112480815,173.4428,92.47540000000001,80.9674
177.9006602,67.479974656,Male,Ideal,"(204, 150, 103)","(3, 237, 119)","(2, 5, 9)",204,150,103,3,237,119,2,5,9,152.33333333333334,119.66666666666669,1,3,256.7586415293554,178.732,4.651,174.081
167.68394200000003,57.4585851632,Female,Ideal,"(243, 214, 200)","(0, 249, 164)","(92, 141, 9)",243,214,200,0,249,164,92,141,9,219.0,137.66666666666666,6,5,210.1261525845843,189.92559999999997,121.0522,68.87339999999998
171.6876678,56.6998164656,Female,Ideal,"(127, 41, 44)","(2, 182, 20)","(242, 122, 216)",127,41,44,2,182,20,242,122,216,70.66666666666667,68.0,1,7,315.62002471326184,132.03559999999996,154.2988,22.26320000000004
166.3661138,55.748271168,Female,Ideal,"(243, 214, 200)","(172, 251, 112)","(193, 28, 118)",243,214,200,172,251,112,193,28,118,219.0,178.33333333333334,2,3,224.06695427929571,224.1688,69.577,154.5918
169.8443644,56.066465956,Female,Ideal,"(246, 215, 197)","(170, 138, 66)","(97, 46, 242)",246,215,197,170,138,66,97,46,242,219.33333333333331,124.66666666666669,2,2,211.586861595894,139.60479999999998,70.9938,68.61099999999999
174.3330778,56.6677475112,Female,Ideal,"(252, 218, 191)","(220, 68, 60)","(42, 239, 195)",252,218,191,220,68,60,42,239,195,220.33333333333331,116.0,7,5,281.336097932704,99.73759999999999,193.941,94.20340000000002
166.8276064,56.4782367736,Female,Ideal,"(253, 220, 213)","(214, 17, 87)","(80, 107, 228)",253,220,213,214,17,87,80,107,228,228.66666666666663,106.0,7,0,214.3291860666671,63.9362,109.99600000000001,46.05980000000001
168.62839019999998,62.10504553359999,Female,Ideal,"(226, 165, 137)","(190, 124, 199)","(6, 20, 64)",226,165,137,190,124,199,6,20,64,176.0,171.0,3,4,250.79274311670184,143.4466,20.2004,123.24619999999999
172.1615556,51.8737790224,Female,Underweight,"(253, 220, 213)","(92, 212, 85)","(88, 19, 23)",253,220,213,92,212,85,88,19,23,228.66666666666663,129.66666666666666,1,3,202.75354497517424,177.3186,33.958200000000005,143.3604
174.286672,60.8469174032,Male,Ideal,"(119, 78, 58)","(117, 254, 252)","(18, 176, 30)",119,78,58,117,254,252,18,176,30,85.0,207.66666666666663,6,5,255.28219679405768,224.7294,131.868,92.8614
179.26700240000002,62.1956732152,Male,Ideal,"(204, 150, 103)","(159, 226, 18)","(156, 55, 126)",204,150,103,159,226,18,156,55,126,152.33333333333334,134.33333333333334,2,3,202.27209397245088,196.7382,81.5988,115.13940000000001
171.0093354,60.674507084,Male,Ideal,"(246, 215, 197)","(50, 9, 74)","(254, 205, 4)",246,215,197,50,9,74,254,205,4,219.33333333333331,44.333333333333336,0,5,291.43095237122634,22.4096,200.9052,178.4956
161.21700040000002,45.7105523632,Female,Underweight,"(252, 218, 191)","(250, 240, 241)","(197, 39, 75)",252,218,191,250,240,241,197,39,75,220.33333333333331,243.66666666666663,5,4,266.0187963283798,242.1982,75.19000000000001,167.0082
165.2723898,54.8110593776,Female,Ideal,"(204, 150, 103)","(9, 108, 82)","(225, 201, 76)",204,150,103,9,108,82,225,201,76,152.33333333333334,66.33333333333333,0,5,235.24667904138414,85.07539999999999,197.0774,112.00200000000002
179.7462496,58.6313472792,Male,Underweight,"(235, 185, 152)","(1, 135, 45)","(168, 139, 172)",235,185,152,1,135,45,168,139,172,190.66666666666663,60.333333333333336,1,7,209.84279830387317,100.01359999999998,147.54799999999997,47.53439999999999
172.89858740000005,53.3059504032,Female,Underweight,"(204, 150, 103)","(95, 208, 70)","(185, 196, 252)",204,150,103,95,208,70,185,196,252,152.33333333333334,124.33333333333331,1,7,203.39124858262707,174.0126,197.7046,23.692000000000007
158.8230504,49.0413237784,Female,Ideal,"(226, 165, 137)","(74, 19, 61)","(215, 255, 22)",226,165,137,74,19,61,215,255,22,176.0,51.333333333333336,0,5,277.6652661029103,33.7254,229.6734,195.94799999999998
179.1609828,63.0567269088,Male,Ideal,"(127, 41, 44)","(102, 35, 199)","(41, 242, 198)",127,41,44,102,35,199,41,242,198,70.66666666666667,112.0,4,5,215.8031510427964,61.085,196.0906,135.0056
170.8920636,50.5899322256,Female,Underweight,"(119, 78, 58)","(107, 232, 115)","(27, 16, 235)",119,78,58,107,232,115,27,16,235,85.0,151.33333333333334,1,1,259.7229292919668,196.9776,34.1504,162.8272
171.9521834,55.237526576,Female,Ideal,"(252, 218, 191)","(95, 251, 65)","(47, 85, 199)",252,218,191,95,251,65,47,85,199,220.33333333333331,137.0,1,1,218.66869917754576,204.4052,85.152,119.2532
171.7210942,52.387154448,Female,Underweight,"(246, 215, 197)","(10, 12, 4)","(173, 132, 120)",246,215,197,10,12,4,173,132,120,219.33333333333331,8.666666666666666,0,5,233.2916629457641,10.997200000000001,139.85019999999997,128.85299999999998
163.46421460000002,60.6329580568,Female,Ideal,"(253, 220, 213)","(136, 248, 15)","(145, 15, 87)",253,220,213,136,248,15,145,15,87,228.66666666666663,133.0,2,3,244.0368824583694,207.3662,47.8364,159.5298
179.8215606,56.5118025816,Female,Underweight,"(204, 150, 103)","(21, 63, 197)","(184, 113, 23)",204,150,103,21,63,197,184,113,23,152.33333333333334,93.66666666666669,4,3,243.60829214129802,63.74559999999999,121.59660000000001,57.85100000000002
177.1582436,59.32910785279999,Male,Ideal,"(246, 215, 197)","(235, 242, 190)","(221, 30, 51)",246,215,197,235,242,190,221,30,51,219.33333333333331,222.33333333333331,5,4,253.8917091990205,236.7574,72.1228,164.63459999999998
178.5311898,66.07823929839999,Male,Ideal,"(246, 215, 197)","(209, 184, 223)","(150, 250, 34)",246,215,197,209,184,223,150,250,34,219.33333333333331,205.33333333333331,5,5,208.70553418632673,192.13080000000002,213.1448,21.01399999999998
168.6193478,64.6227532888,Female,Ideal,"(253, 220, 213)","(45, 216, 5)","(7, 12, 197)",253,220,213,45,216,5,7,12,197,228.66666666666663,88.66666666666667,1,1,282.7083302628347,164.41119999999998,24.293999999999997,140.11719999999997
172.0228716,55.575906208,Female,Ideal,"(127, 41, 44)","(22, 55, 59)","(62, 247, 145)",127,41,44,22,55,59,62,247,145,70.66666666666667,45.333333333333336,0,3,214.1494805036893,48.272999999999996,200.30459999999997,152.03159999999997
182.7442878,60.9516971552,Male,Underweight,"(246, 215, 197)","(33, 75, 113)","(247, 223, 24)",246,215,197,33,75,113,247,223,24,219.33333333333331,73.66666666666667,0,5,274.99272717655646,68.81439999999999,213.7346,144.92020000000002
171.0833256,57.2733835496,Female,Ideal,"(243, 214, 200)","(243, 101, 155)","(40, 41, 25)",243,214,200,243,101,155,40,41,25,219.0,166.33333333333334,3,4,248.41296262473904,135.088,39.6322,95.4558
175.3569772,65.08364812,Male,Ideal,"(235, 185, 152)","(193, 137, 51)","(53, 9, 217)",235,185,152,193,137,51,53,9,217,190.66666666666663,127.0,2,2,252.07141845120006,142.6964,33.372,109.32440000000001
165.0136908,56.5598379744,Female,Ideal,"(235, 185, 152)","(26, 193, 139)","(233, 49, 231)",235,185,152,26,193,139,233,49,231,190.66666666666663,119.33333333333331,6,1,268.41944787961995,153.59699999999998,101.25880000000001,52.33819999999997
181.9860216,56.8432876152,Female,Underweight,"(253, 220, 213)","(77, 224, 96)","(254, 229, 252)",253,220,213,77,224,96,254,229,252,228.66666666666663,132.33333333333334,1,7,235.9872877932199,183.50619999999998,235.97560000000001,52.469400000000036
163.56624639999998,53.6800277256,Female,Ideal,"(253, 220, 213)","(48, 33, 238)","(203, 27, 33)",253,220,213,48,33,238,203,27,33,228.66666666666663,106.33333333333331,4,3,257.0719743573772,50.989999999999995,64.85079999999999,13.860799999999998
166.94147460000002,50.80683992,Female,Underweight,"(127, 41, 44)","(12, 93, 118)","(184, 149, 17)",127,41,44,12,93,118,184,149,17,70.66666666666667,74.33333333333333,0,5,207.17384004743457,77.58439999999999,146.9106,69.3262
176.2929672,63.955791612000006,Male,Ideal,"(119, 78, 58)","(211, 193, 17)","(100, 111, 247)",119,78,58,211,193,17,100,111,247,85.0,140.33333333333334,2,2,268.2256512714621,184.11959999999996,118.4806,65.63899999999997
170.4217318,63.1161474608,Male,Ideal,"(204, 150, 103)","(209, 122, 252)","(89, 50, 52)",204,150,103,209,122,252,89,50,52,152.33333333333334,194.33333333333331,3,4,244.09834083827772,149.88219999999998,58.43579999999999,91.44639999999998
171.504356,52.4190873248,Female,Underweight,"(252, 218, 191)","(11, 117, 224)","(180, 25, 102)",252,218,191,11,117,224,180,25,102,220.33333333333331,117.33333333333331,4,3,227.83546694928776,102.18979999999999,63.5124,38.67739999999999
171.0300618,57.2781916248,Female,Ideal,"(226, 165, 137)","(11, 67, 122)","(210, 202, 103)",226,165,137,11,67,122,210,202,103,176.0,66.66666666666667,0,5,241.21981676470944,59.0654,196.553,137.4876
172.3455278,58.787337568000005,Male,Ideal,"(235, 185, 152)","(57, 253, 249)","(250, 105, 186)",235,185,152,57,253,249,250,105,186,190.66666666666663,186.33333333333331,6,1,251.24092023394596,211.0416,141.6752,69.3664
171.941363,58.796953718400005,Male,Ideal,"(127, 41, 44)","(27, 86, 180)","(184, 25, 9)",127,41,44,27,86,180,184,25,9,70.66666666666667,97.66666666666669,4,3,240.02291557265943,80.2434,57.6482,22.59519999999999
171.8540378,58.319684216000006,Male,Ideal,"(119, 78, 58)","(14, 89, 205)","(161, 112, 26)",119,78,58,14,89,205,161,112,26,85.0,102.66666666666669,4,3,232.76382880507873,81.4302,116.20819999999999,34.77799999999999
166.5117574,52.459729168,Female,Ideal,"(119, 78, 58)","(151, 238, 162)","(151, 54, 69)",119,78,58,151,238,162,151,54,69,85.0,183.66666666666663,5,4,206.1674077054858,214.01659999999998,75.70519999999999,138.3114
