Height(Centimeter),Weight(Kilograms),Gender,BMI,Skin Color,Clothes Color,Pants Color,Skin Color_R,Skin Color_G,Skin Color_B,Clothes Color_R,Clothes Color_G,Clothes Color_B,Pants Color_R,Pants Color_G,Pants Color_B,Skin_Brightness,Clothes_Brightness,SkinCluster,ShirtCluster
179.8775676,59.6884434352,Male,Underweight,"(252, 218, 191)","(205, 143, 56)","(49, 175, 178)",252,218,191,205,143,56,49,175,178,220.33333333333331,134.66666666666666,5,5
173.686089,54.5694309192,Female,Underweight,"(127, 41, 44)","(121, 144, 193)","(131, 103, 95)",127,41,44,121,144,193,131,103,95,70.66666666666667,152.66666666666666,3,6
177.9013206,62.182609765600006,Male,Ideal,"(119, 78, 58)","(191, 68, 76)","(93, 235, 209)",119,78,58,191,68,76,93,235,209,85.0,111.66666666666669,1,3
179.7221958,59.50464795679999,Male,Underweight,"(243, 214, 200)","(250, 54, 33)","(188, 200, 156)",243,214,200,250,54,33,188,200,156,219.0,112.33333333333331,5,3
169.90534979999998,59.1429990552,Male,Ideal,"(243, 214, 200)","(231, 137, 85)","(40, 155, 160)",243,214,200,231,137,85,40,155,160,219.0,151.0,5,5
171.84395400000002,63.06189785760001,Male,Ideal,"(253, 220, 213)","(185, 201, 21)","(206, 133, 143)",253,220,213,185,201,21,206,133,143,228.66666666666663,135.66666666666666,0,6
168.3518604,52.843014408,Female,Ideal,"(235, 185, 152)","(36, 58, 89)","(205, 95, 84)",235,185,152,36,58,89,205,95,84,190.66666666666663,61.0,2,5
174.24488900000003,52.801737536,Female,Underweight,"(246, 215, 197)","(166, 124, 25)","(14, 245, 228)",246,215,197,166,124,25,14,245,228,219.33333333333331,105.0,5,3
167.7429208,53.4472443112,Female,Ideal,"(226, 165, 137)","(169, 139, 169)","(46, 169, 64)",226,165,137,169,139,169,46,169,64,176.0,159.0,2,4
166.4227558,54.5702020256,Female,Ideal,"(252, 218, 191)","(22, 116, 133)","(65, 184, 61)",252,218,191,22,116,133,65,184,61,220.33333333333331,90.33333333333331,5,7
170.3008532,56.1377706184,Female,Ideal,"(226, 165, 137)","(174, 217, 182)","(139, 26, 181)",226,165,137,174,217,182,139,26,181,176.0,191.0,2,4
175.0659948,60.5439633064,Male,Ideal,"(119, 78, 58)","(212, 96, 177)","(188, 66, 112)",119,78,58,212,96,177,188,66,112,85.0,161.66666666666666,1,4
163.4815882,55.35750166,Female,Ideal,"(252, 218, 191)","(135, 203, 62)","(81, 75, 21)",252,218,191,135,203,62,81,75,21,220.33333333333331,133.33333333333334,5,5
174.33914840000003,57.8723971448,Female,Ideal,"(253, 220, 213)","(77, 127, 0)","(33, 235, 113)",253,220,213,77,127,0,33,235,113,228.66666666666663,68.0,0,4
175.546639,67.07237688480001,Male,Ideal,"(204, 150, 103)","(236, 168, 123)","(137, 161, 43)",204,150,103,236,168,123,137,161,43,152.33333333333334,175.66666666666666,4,7
177.2178828,61.7164986264,Male,Ideal,"(252, 218, 191)","(129, 185, 129)","(53, 132, 174)",252,218,191,129,185,129,53,132,174,220.33333333333331,147.66666666666666,5,5
175.755681,53.6265492288,Female,Underweight,"(204, 150, 103)","(117, 162, 14)","(137, 131, 36)",204,150,103,117,162,14,137,131,36,152.33333333333334,97.66666666666669,4,3
172.13493640000002,58.7003386224,Male,Ideal,"(235, 185, 152)","(1, 222, 157)","(34, 208, 106)",235,185,152,1,222,157,34,208,106,190.66666666666663,126.66666666666669,2,7
171.5445896,52.518242536,Female,Underweight,"(235, 185, 152)","(106, 7, 109)","(42, 168, 91)",235,185,152,106,7,109,42,168,91,190.66666666666663,74.0,2,5
169.6430948,53.220629748,Female,Underweight,"(246, 215, 197)","(160, 73, 75)","(47, 250, 136)",246,215,197,160,73,75,47,250,136,219.33333333333331,102.66666666666669,5,3
176.2931704,54.7071414504,Female,Underweight,"(252, 218, 191)","(109, 23, 143)","(6, 65, 71)",252,218,191,109,23,143,6,65,71,220.33333333333331,91.66666666666669,5,7
173.834425,54.1333929296,Female,Underweight,"(119, 78, 58)","(180, 43, 91)","(80, 60, 108)",119,78,58,180,43,91,80,60,108,85.0,104.66666666666669,1,3
174.7764602,59.325751272,Male,Ideal,"(204, 150, 103)","(146, 182, 240)","(228, 149, 54)",204,150,103,146,182,240,228,149,54,152.33333333333334,189.33333333333331,4,7
175.3868476,57.4867078672,Female,Ideal,"(226, 165, 137)","(42, 175, 145)","(111, 251, 86)",226,165,137,42,175,145,111,251,86,176.0,120.66666666666669,2,7
169.2258236,58.2360872104,Male,Ideal,"(253, 220, 213)","(46, 14, 183)","(108, 178, 74)",253,220,213,46,14,183,108,178,74,228.66666666666663,81.0,0,1
168.13248059999998,52.400535412,Female,Ideal,"(127, 41, 44)","(41, 117, 43)","(250, 235, 212)",127,41,44,41,117,43,250,235,212,70.66666666666667,67.0,3,3
172.85672820000002,63.364035488800006,Male,Ideal,"(253, 220, 213)","(226, 186, 23)","(213, 155, 191)",253,220,213,226,186,23,213,155,191,228.66666666666663,145.0,0,6
172.3455278,58.787337568000005,Male,Ideal,"(235, 185, 152)","(57, 253, 249)","(250, 105, 186)",235,185,152,57,253,249,250,105,186,190.66666666666663,186.33333333333331,2,7
178.7680194,65.2801895336,Male,Ideal,"(204, 150, 103)","(28, 77, 157)","(189, 87, 51)",204,150,103,28,77,157,189,87,51,152.33333333333334,87.33333333333333,4,0
167.7660094,58.014870392,Female,Ideal,"(119, 78, 58)","(187, 197, 12)","(253, 175, 67)",119,78,58,187,197,12,253,175,67,85.0,132.0,1,2
178.32842159999998,64.3885637392,Male,Ideal,"(243, 214, 200)","(103, 103, 173)","(159, 180, 140)",243,214,200,103,103,173,159,180,140,219.0,126.33333333333331,5,7
176.42842539999998,65.9007487488,Male,Ideal,"(119, 78, 58)","(185, 152, 41)","(239, 251, 17)",119,78,58,185,152,41,239,251,17,85.0,126.0,1,2
175.4742236,59.3016655368,Male,Ideal,"(243, 214, 200)","(16, 77, 218)","(225, 2, 133)",243,214,200,16,77,218,225,2,133,219.0,103.66666666666669,5,7
170.8570624,57.1078678288,Female,Ideal,"(246, 215, 197)","(27, 79, 221)","(248, 138, 219)",246,215,197,27,79,221,248,138,219,219.33333333333331,109.0,5,7
180.93888120000005,55.1893097464,Female,Underweight,"(252, 218, 191)","(139, 155, 88)","(209, 182, 54)",252,218,191,139,155,88,209,182,54,220.33333333333331,127.33333333333331,5,5
172.322744,54.54897392,Female,Underweight,"(119, 78, 58)","(164, 6, 225)","(90, 215, 159)",119,78,58,164,6,225,90,215,159,85.0,131.66666666666666,1,4
165.38227020000002,63.1346540144,Female,Ideal,"(252, 218, 191)","(142, 8, 35)","(118, 181, 227)",252,218,191,142,8,35,118,181,227,220.33333333333331,61.66666666666666,5,3
165.63594,49.7144996656,Female,Underweight,"(252, 218, 191)","(219, 179, 30)","(185, 152, 23)",252,218,191,219,179,30,185,152,23,220.33333333333331,142.66666666666666,5,5
178.0563876,63.7858306896,Male,Ideal,"(246, 215, 197)","(161, 216, 86)","(141, 37, 135)",246,215,197,161,216,86,141,37,135,219.33333333333331,154.33333333333334,5,5
170.17933960000002,47.315542296,Female,Underweight,"(204, 150, 103)","(216, 161, 191)","(6, 243, 1)",204,150,103,216,161,191,6,243,1,152.33333333333334,189.33333333333331,4,7
174.05746240000002,53.414540328,Female,Underweight,"(246, 215, 197)","(153, 109, 94)","(51, 216, 190)",246,215,197,153,109,94,51,216,190,219.33333333333331,118.66666666666669,5,3
174.66736719999997,54.5650310768,Female,Underweight,"(246, 215, 197)","(135, 10, 88)","(109, 247, 76)",246,215,197,135,10,88,109,247,76,219.33333333333331,77.66666666666667,5,3
173.1964024,56.7834588304,Female,Ideal,"(246, 215, 197)","(82, 18, 208)","(177, 42, 227)",246,215,197,82,18,208,177,42,227,219.33333333333331,102.66666666666669,5,7
172.62088920000002,60.6473369232,Male,Ideal,"(204, 150, 103)","(60, 129, 176)","(35, 193, 96)",204,150,103,60,129,176,35,193,96,152.33333333333334,121.66666666666669,4,0
178.6057388,61.07598136319999,Male,Ideal,"(127, 41, 44)","(121, 48, 109)","(89, 166, 158)",127,41,44,121,48,109,89,166,158,70.66666666666667,92.66666666666669,3,3
179.54177959999998,72.9752870952,Male,Ideal,"(253, 220, 213)","(182, 223, 62)","(7, 166, 195)",253,220,213,182,223,62,7,166,195,228.66666666666663,155.66666666666666,0,6
162.1657666,50.6922172216,Female,Ideal,"(226, 165, 137)","(36, 135, 135)","(236, 199, 90)",226,165,137,36,135,135,236,199,90,176.0,102.0,2,7
168.59763080000002,48.0466418816,Female,Underweight,"(252, 218, 191)","(128, 125, 77)","(180, 182, 216)",252,218,191,128,125,77,180,182,216,220.33333333333331,110.0,5,3
166.6322804,54.929764404,Female,Ideal,"(119, 78, 58)","(188, 104, 240)","(207, 22, 58)",119,78,58,188,104,240,207,22,58,85.0,177.33333333333334,1,4
164.7535948,59.658234208,Female,Ideal,"(119, 78, 58)","(139, 80, 230)","(233, 105, 130)",119,78,58,139,80,230,233,105,130,85.0,149.66666666666666,1,4
172.0339714,56.8738143568,Female,Ideal,"(252, 218, 191)","(143, 53, 8)","(174, 117, 232)",252,218,191,143,53,8,174,117,232,220.33333333333331,68.0,5,3
164.1821964,49.2771916184,Female,Underweight,"(252, 218, 191)","(245, 3, 49)","(188, 247, 185)",252,218,191,245,3,49,188,247,185,220.33333333333331,99.0,5,3
166.1466832,59.515125932,Female,Ideal,"(235, 185, 152)","(37, 210, 230)","(255, 254, 218)",235,185,152,37,210,230,255,254,218,190.66666666666663,159.0,2,7
169.53471299999998,57.50185784,Female,Ideal,"(226, 165, 137)","(54, 195, 136)","(150, 168, 158)",226,165,137,54,195,136,150,168,158,176.0,128.33333333333334,2,7
172.14756020000002,55.1087518072,Female,Ideal,"(119, 78, 58)","(175, 29, 250)","(201, 141, 45)",119,78,58,175,29,250,201,141,45,85.0,151.33333333333334,1,4
168.053893,55.6933411768,Female,Ideal,"(127, 41, 44)","(2, 2, 126)","(47, 163, 92)",127,41,44,2,2,126,47,163,92,70.66666666666667,43.333333333333336,3,0
177.806477,62.49817372,Male,Ideal,"(243, 214, 200)","(173, 113, 82)","(151, 218, 190)",243,214,200,173,113,82,151,218,190,219.0,122.66666666666669,5,3
167.2948902,51.9604150944,Female,Ideal,"(246, 215, 197)","(246, 45, 87)","(80, 190, 28)",246,215,197,246,45,87,80,190,28,219.33333333333331,126.0,5,3
179.67299599999998,64.8889664336,Male,Ideal,"(119, 78, 58)","(129, 238, 37)","(222, 15, 50)",119,78,58,129,238,37,222,15,50,85.0,134.66666666666666,1,2
175.97026019999998,61.2150980296,Male,Ideal,"(127, 41, 44)","(192, 170, 210)","(2, 216, 177)",127,41,44,192,170,210,2,216,177,70.66666666666667,190.66666666666663,3,6
169.38447200000002,52.7335172992,Female,Underweight,"(226, 165, 137)","(107, 130, 129)","(199, 188, 253)",226,165,137,107,130,129,199,188,253,176.0,122.0,2,7
171.40684539999998,51.4130202688,Female,Underweight,"(252, 218, 191)","(142, 14, 10)","(147, 200, 93)",252,218,191,142,14,10,147,200,93,220.33333333333331,55.333333333333336,5,3
165.6424932,56.3075047448,Female,Ideal,"(252, 218, 191)","(61, 44, 178)","(131, 210, 51)",252,218,191,61,44,178,131,210,51,220.33333333333331,94.33333333333331,5,7
181.1731708,64.8158927624,Male,Ideal,"(253, 220, 213)","(134, 178, 94)","(184, 181, 174)",253,220,213,134,178,94,184,181,174,228.66666666666663,135.33333333333334,0,6
177.6994668,57.2697094544,Female,Underweight,"(253, 220, 213)","(223, 142, 17)","(116, 224, 125)",253,220,213,223,142,17,116,224,125,228.66666666666663,127.33333333333331,0,6
177.1834404,58.5409917528,Male,Ideal,"(235, 185, 152)","(174, 208, 189)","(222, 196, 173)",235,185,152,174,208,189,222,196,173,190.66666666666663,190.33333333333331,2,4
176.585118,57.5244467216,Female,Underweight,"(253, 220, 213)","(132, 241, 43)","(224, 214, 28)",253,220,213,132,241,43,224,214,28,228.66666666666663,138.66666666666666,0,6
170.0300892,63.1458123776,Male,Ideal,"(253, 220, 213)","(91, 61, 235)","(206, 208, 79)",253,220,213,91,61,235,206,208,79,228.66666666666663,129.0,0,1
171.0185302,57.182982664,Female,Ideal,"(226, 165, 137)","(91, 117, 59)","(12, 44, 250)",226,165,137,91,117,59,12,44,250,176.0,89.0,2,5
166.34980700000003,49.1440170072,Female,Underweight,"(127, 41, 44)","(78, 60, 162)","(148, 54, 151)",127,41,44,78,60,162,148,54,151,70.66666666666667,100.0,3,0
172.25119220000002,54.6381954664,Female,Underweight,"(127, 41, 44)","(108, 93, 192)","(240, 49, 156)",127,41,44,108,93,192,240,49,156,70.66666666666667,131.0,3,0
176.1635034,58.293829472,Male,Ideal,"(235, 185, 152)","(192, 195, 136)","(144, 39, 110)",235,185,152,192,195,136,144,39,110,190.66666666666663,174.33333333333334,2,4
173.178089,59.6200871208,Male,Ideal,"(235, 185, 152)","(5, 69, 138)","(82, 172, 108)",235,185,152,5,69,138,82,172,108,190.66666666666663,70.66666666666667,2,5
172.175297,49.98130248,Female,Underweight,"(226, 165, 137)","(44, 177, 157)","(202, 159, 35)",226,165,137,44,177,157,202,159,35,176.0,126.0,2,7
170.71375559999998,55.216752062400005,Female,Ideal,"(127, 41, 44)","(145, 189, 198)","(157, 197, 241)",127,41,44,145,189,198,157,197,241,70.66666666666667,177.33333333333334,3,6
172.3028558,61.108095676800005,Male,Ideal,"(226, 165, 137)","(104, 129, 139)","(140, 52, 113)",226,165,137,104,129,139,140,52,113,176.0,124.0,2,7
172.719746,53.6973095808,Female,Underweight,"(226, 165, 137)","(172, 233, 215)","(124, 18, 76)",226,165,137,172,233,215,124,18,76,176.0,206.66666666666663,2,4
176.43784879999998,56.82260382,Female,Underweight,"(252, 218, 191)","(4, 45, 192)","(126, 245, 153)",252,218,191,4,45,192,126,245,153,220.33333333333331,80.33333333333333,5,7
170.0065942,57.8858688272,Female,Ideal,"(252, 218, 191)","(207, 43, 73)","(233, 237, 181)",252,218,191,207,43,73,233,237,181,220.33333333333331,107.66666666666669,5,3
171.3921388,54.8967429064,Female,Ideal,"(226, 165, 137)","(125, 156, 160)","(112, 18, 11)",226,165,137,125,156,160,112,18,11,176.0,147.0,2,7
169.61746620000002,58.4086789664,Male,Ideal,"(204, 150, 103)","(2, 46, 167)","(241, 146, 5)",204,150,103,2,46,167,241,146,5,152.33333333333334,71.66666666666667,4,0
172.3390254,52.8472781728,Female,Underweight,"(119, 78, 58)","(186, 26, 125)","(231, 19, 202)",119,78,58,186,26,125,231,19,202,85.0,112.33333333333331,1,3
168.7612322,58.6836010776,Female,Ideal,"(204, 150, 103)","(203, 220, 165)","(242, 82, 53)",204,150,103,203,220,165,242,82,53,152.33333333333334,196.0,4,7
182.9532536,65.14270579839999,Male,Ideal,"(252, 218, 191)","(209, 157, 35)","(89, 219, 248)",252,218,191,209,157,35,89,219,248,220.33333333333331,133.66666666666666,5,5
176.38047020000002,61.0533017632,Male,Ideal,"(252, 218, 191)","(103, 30, 160)","(99, 108, 211)",252,218,191,103,30,160,99,108,211,220.33333333333331,97.66666666666669,5,7
172.9688946,56.384660744,Female,Ideal,"(235, 185, 152)","(187, 252, 128)","(54, 92, 8)",235,185,152,187,252,128,54,92,8,190.66666666666663,189.0,2,4
166.36895859999998,54.2572235456,Female,Ideal,"(246, 215, 197)","(202, 136, 63)","(31, 242, 190)",246,215,197,202,136,63,31,242,190,219.33333333333331,133.66666666666666,5,5
175.37808460000002,52.6991350256,Female,Underweight,"(226, 165, 137)","(115, 121, 124)","(190, 65, 242)",226,165,137,115,121,124,190,65,242,176.0,120.0,2,5
167.55790720000002,51.810639016,Female,Underweight,"(243, 214, 200)","(216, 171, 107)","(249, 171, 88)",243,214,200,216,171,107,249,171,88,219.0,164.66666666666666,5,5
175.2808026,55.2516332872,Female,Underweight,"(127, 41, 44)","(41, 104, 0)","(26, 238, 59)",127,41,44,41,104,0,26,238,59,70.66666666666667,48.333333333333336,3,3
173.57217,58.5944248904,Male,Ideal,"(243, 214, 200)","(233, 21, 91)","(135, 0, 85)",243,214,200,233,21,91,135,0,85,219.0,115.0,5,3
171.4181992,58.8895772048,Male,Ideal,"(127, 41, 44)","(237, 219, 148)","(172, 160, 39)",127,41,44,237,219,148,172,160,39,70.66666666666667,201.33333333333331,3,6
180.9075884,60.8569871456,Male,Ideal,"(204, 150, 103)","(97, 121, 211)","(2, 206, 71)",204,150,103,97,121,211,2,206,71,152.33333333333334,143.0,4,0
172.8316076,58.5999133536,Male,Ideal,"(119, 78, 58)","(171, 129, 140)","(120, 229, 131)",119,78,58,171,129,140,120,229,131,85.0,146.66666666666666,1,4
173.2673192,59.8827168888,Male,Ideal,"(119, 78, 58)","(255, 246, 63)","(159, 24, 151)",119,78,58,255,246,63,159,24,151,85.0,188.0,1,2
171.7712592,49.9510932528,Female,Underweight,"(252, 218, 191)","(145, 50, 36)","(250, 50, 79)",252,218,191,145,50,36,250,50,79,220.33333333333331,77.0,5,3
177.53916740000005,67.2247384376,Male,Ideal,"(204, 150, 103)","(27, 159, 18)","(244, 98, 35)",204,150,103,27,159,18,244,98,35,152.33333333333334,68.0,4,3
167.38125019999998,55.1651332928,Female,Ideal,"(243, 214, 200)","(58, 27, 244)","(88, 201, 194)",243,214,200,58,27,244,88,201,194,219.0,109.66666666666669,5,7
174.0140284,52.55770504,Female,Underweight,"(226, 165, 137)","(0, 243, 247)","(88, 118, 125)",226,165,137,0,243,247,88,118,125,176.0,163.33333333333334,2,7
163.3687868,51.9642252672,Female,Ideal,"(243, 214, 200)","(59, 65, 237)","(214, 241, 9)",243,214,200,59,65,237,214,241,9,219.0,120.33333333333331,5,7
175.412146,59.5512318552,Male,Ideal,"(119, 78, 58)","(133, 254, 18)","(250, 156, 214)",119,78,58,133,254,18,250,156,214,85.0,135.0,1,2
